Name,Id,Price,Pages,Author,Language,Type
"Oost-Indische voyagie; vervattende veel voorname voorvallen en ongemeene oreemde geschiedenissen, bloedige zee- en landtgevechten tegen de Portugeesen en Makassaren ..",MWKCN70100,1568,3591,James A. Michener,French,Psychology
Index of wills in the York registry,MFUGX21007,9508,1318,Astrid Lindgren,Spanish,Mathematics
Living messages of the books of the Bible,HIMCL10067,9091,2355,Janet Dailey,Japanise,Mathematics
"Directory of the City of Newark, for 1851-52",KTFEO10008,4867,3614,Irving Wallace,French,Poetry
Diario fiorentino dal 1450 al 1516,WUYAP10029,3812,615,Jirō Akagawa,Spanish,Science
Darkwater; voices from within the veil,KGGYE10011,9716,1553,Anne Golon,French,Novel
Travels amongst the great Andes of the equator,NCFVH10092,9905,4391,Denise Robins,German,Psychology
"A history of the old town of Stratford and the city of Bridgeport, Connecticut",ZVHVB10069,9143,528,EL James,Urdu,Horror
"Ogygia : or, a chronological account of Irish events : collected from very ancient documents, faithfully compared with each other, and supported by the genealogical and chronological aid of the sacred and prophane writings of the first nations of the globe",OAQLA16100,8044,567,Eiichiro Oda,Korean,Horror
"An historical sketch of the parish of Croxall, in the county of Derby. With appendices",FTPIW21003,7967,1919,Norman Bridwell,Turkish,Comic
Lun-heng ..,JLZMG21005,2298,2765,Harold Robbins,Turkish,Thriller
"The history of the factory movement, from the year 1802, to the enactment of the ten hours' bill in 1847",EPUVV91002,9798,3577,Eiji Yoshikawa,English,Drama
"The household book of Lady Grisell Baillie, 1692-1733",LTSDP39100,2408,2991,Ann M. Martin,Russian,Drama
The theory of electrons and its applications to the phenomena of light and radiant heat,YVVIP77100,8526,3480,Georges Simenon,English,Poetry
A text book of physiology for students and practitioners of medicine,RNVQU79100,5207,3831,Georges Simenon,Russian,Literary
"A history of Hindu chemistry from the earliest times to the middle of the sixteenth century, A.D. : with Sanskrit texts, variants, translation and illustrations",KUCBK21100,5048,2742,Richard Scarry,Korean,Drama
Professional ethics and civic morals;,PSGCF10067,5265,3656,René Goscinny,Japanise,Mathematics
"The Jewish encyclopedia : a descriptive record of the history, religion, literature, and customs of the Jewish people from the earliest times to the present day",MBWEG43100,5054,3879,EL James,Japanise,Meta Fiction
Census of Canada. 1870-71,LIURU10043,9638,3198,Karl May,Korean,History
Centenario do descobrimento da America; memorias da Commissão portugueza,PDHGJ10010,7874,4840,Anne Rice,Urdu,Horror
Community assistance programs : supporting local housing efforts from start to finish,WIINU31006,2098,4218,Ken Follett,Japanise,Novel
Keystone tillage implements,BDLAX10049,2091,3362,Mickey Spillane,Urdu,Science
National heritage fellowships,TQEYZ10025,4221,2991,C. S. Lewis,French,Realistic Fiction
"Massachusetts Coalition for the Homeless, and, Massachusetts Coalition for Basic Human Needs, and Celeste Freeman, Kathy Goodwin, and Candy Heyser on behalf of themselves, their minor children, and all others similarly situtated, plaintiffs, vs. Michael S. Dukakis, Governor, Philip W. Johnston, Secretary, Executive Office of Human Services, and Charles M. Atkins, Commissioner, Department of Public Welfare, defendants : findings ruling and order",OARDS20100,5704,1540,James Patterson,Russian,Medicine
Non-profit boards : dilemmas in doing the right thing,UFJNA81005,7340,655,Ken Follett,Spanish,Mystery
Shoreline survey : a stream team monitoring project,JICWH21004,1209,1368,John Grisham,Japanise,History
Executive Council meetings,SCPNC10066,3170,1802,Robin Cook,Turkish,Horror
Massachusetts farm law : a monograph on the legal rights and liabilities of farmers ; With illustrations and citations from other states,MVIVP81100,4408,2112,Hajime Isayam,English,Comic
Massachusetts crop report,DHSWO71000,3363,1073,John Grisham,Turkish,Realistic Fiction
Health data annual,QTQKS10093,4869,4550,Sidney Sheldon,Korean,Science
"Minorities and women in the arts, 1970 : a study",ZJFFA81002,6816,1619,Richard Scarry,French,Thriller
Phase two of economic base study and development program,STQMD99100,1057,3245,Alexander Pushkin,French,Suspense
"Records of the rise and proseedings [sic] of the first Social Library in the first Parish in the Town of Greenwich, 1812-1831",UXAOV10007,9277,4938,Agatha Christie,Korean,Thriller
State annual forecast of energy resources,LABUQ81004,5592,2378,Nora Roberts,Russian,Realistic Fiction
End of year report,XLGME10078,4549,182,James Patterson,Turkish,Science
Massachusetts Annual Victim Rights Conference,VFZLX10006,4702,607,Erle Stanley Gardner,French,Mathematics
Employee benefits & policies manual,YTVPP21100,8938,1997,Ian Fleming,Spanish,Novel
Health as a national asset : can this perspective from Finland help us reform our health sector?,DOQOR10079,4920,3623,Erskine Caldwell,French,Crime
Wendell post,AEAJW81100,7186,4823,Erle Stanley Gardner,German,Science
Index,KJMCD41006,3146,1227,Penny Jordan,Spanish,Crime
Annual report,QJGTO81002,2451,4423,Barbara Cartland,Japanise,Novel
Annual report,HLYUQ83100,4768,4573,Agatha Christie,Urdu,Thriller
"New England energy policy alternatives study : the economic impacts of energy conservation and alternative electric generation scenarios, 1975-1985",PFFLS33100,1081,496,R. L. Stine,Russian,Comic
Sheep farming in America,CKTFO61007,5990,3426,Lewis Carroll,Turkish,Mathematics
Logan Airside Improvements Planning Project : supplemental draft environmental impact statement/final environmental impact report,HUELW71000,1997,1295,Evan Hunter,Urdu,Classic
Praise our God in all His splendor = Lobet Gott in seinen Reichen : sacred cantata no. 11 for Ascension Day,CDTVZ36100,2604,359,Corín Tellado,Korean,Classic
"A practical treatise on the culture and treatment of the grape vine: embracing its history, with directions for its treatment, in the United States of America, in the open air, and under glass structures, with and without artificial heat",IDKXF71003,3442,3221,Leo Tolstoy,English,History
"Annual report of the American Institute, of the City of New York",SEJMR10041,2293,649,Agatha Christie,German,Medicine
The Massachusetts daily collegian [microform],AAWUE51001,2537,2575,Anne Golon,Russian,Realistic Fiction
Annual report of the Governor General of the Philippine Islands : message from the President of the United States transmitting the annual report of the Governor General of the Philippine Islands ... for the fiscal year ended ..,QHXRB51006,5485,3753,Erle Stanley Gardner,Russian,Comic
Wetlands protection program policies,KFVUX41009,5298,2603,Anne Rice,English,Meta Fiction
"Money in broilers and squabs, together with special chapters on turkey and guinea broilers and green ducklings and geese for market. The experiences of practical men",XJCLA76100,4283,3130,Edgar Wallace,German,Comic
The sexual abuse of children in the Roman Catholic Archdiocese of Boston : a report by the Attorney General,ZKKHO42100,5251,1692,Erle Stanley Gardner,Japanise,Comic
Catalogue of the officers and members of the Worcester Agricultural Society : incorporated in MDCCCXVIII,VZFJY34100,4906,1443,Stephen King,Korean,Realistic Fiction
The Gardeners' chronicle : a weekly illustrated journal of horticulture and allied subjects,JQYYC11006,7269,4550,Janet Dailey,Turkish,Classic
American bee journal,SUSIN10081,7036,4053,Janet Dailey,French,Poetry
Market analysis progress report,ROUHJ41004,2944,809,Michael Crichton,Urdu,Science
The Gardeners' chronicle : a weekly illustrated journal of horticulture and allied subjects,IVKHB91000,9842,985,Dean Koontz,German,Mathematics
Abstract of the certificates of corporations organized under the general laws of Massachusetts ...,KFFRP81005,7693,1096,Stephen King,French,Literary
"Record of births, marriages, and deaths of the town of Sturbridge, from the settlement of the town to 1816",QBKOL41008,7015,2914,David Baldacci,German,Mystery
Aufnahmen mittelalterlicher Wand- und Deckenmalereien in Deutschland,FUMRE10025,8911,4528,Barbara Cartland,German,Mathematics
Histoire de la peinture et de la sculpture a Malines,TOYRS10081,6714,3736,Alistair MacLean,Urdu,Horror
"Diario sanese : in cui si veggono alla giornata tutti gli avvenimenti più ragguardevoli spettanti sì allo spirituale, sì al temporale della città, e stato di Siena : con la notizia di molte nobili famiglie di essa, delle quali è caduto in acconcio il parlarne",EQENR10017,5637,3236,Enid Blyton,Spanish,Technical
Ausführliches Lexikon der griechischen und römischen Mythologie,IVSYC31002,7826,721,Alistair MacLean,Urdu,Comic
How to make paint : the quality of which will be remembered long after the price is forgotten,KCOLG31100,9946,2160,Debbie Macomber,French,Literary
Motifs Louis XVI,LGJIR61008,3039,2966,Rumiko Takahashi,Spanish,Suspense
Cartulaire de l'abbaye de Conques en Rouergue,EOFXW36100,1975,2996,Hajime Isayam,French,Poetry
"Iconologia, ovvero, Immagini di tutte le cose principali a cui l'umano talento ha finto un corpo",GYKPI10064,4484,4606,Danielle Steel,Turkish,Horror
Santander;,LGCDJ41005,1390,3812,Dan Brown,Turkish,Literary
Il perfeto bombardiero et real instruttione di artiglieri,TZEYC84100,1844,164,Judith Krantz,Spanish,Horror
The American magazine of art,IDIMH25100,4436,2904,René Goscinny,Japanise,Meta Fiction
"Het leven der doorluchtige Nederlandsche en eenige Hoogduitsche schilders : voormaals byeen-vergaderd en beschreeven door Karel van Mander ... : en nu, volgends het oorspronglyke van den schryver, in de hedendaagsch Nederduitsche spraake en styl overgebragt, met verscheiden bygevoegde aanmerkingen, ophelderingen, en verdere levens- en kunst byzonderheden vermeerderd, en vollediger gemaakt",YJVBY51002,3802,4345,Edgar Wallace,Korean,Medicine
"Original designs in architecture : consisting of plans, elevations, and sections, for villas, mansions, town-houses, &c., and a new design for a theatre : with descriptions, and explanations of the plates, and an introduction to the work",RFBZK10094,3843,4755,Gérard de Villier,German,Realistic Fiction
Iranisches namenbuch,EDLAR21007,1823,2005,Cao Xueqin,French,Thriller
L'art du Yamato,SYAPH10030,9171,3709,R. L. Stine,Urdu,Science
"Paul Baudry, sa vie et son uvre : [Catalogue de l'uvre]",ANPGX10098,2032,1489,Eiji Yoshikawa,English,History
"Iacobi Bruckeri Regiae Scient. Societatis, quae Berolini floret, membri Historia critica philosophiae : a mundi incunabulis ad nostram usque aetatem deducta",ULCQZ10078,3092,1756,Barbara Cartland,Russian,Drama
Cisterzienserkirchen Thüringens : ein Beitrag zur Kenntnis der Ordensbauweise,CMMHI10075,1342,1523,Leo Tolstoy,Turkish,History
Histoire de l'art de l'antiquité,HZSPR21002,4845,2542,John Creasey,Korean,Science
Carceri d'invenzione,AKPBG51004,6493,4128,Frédéric Dard,Urdu,Horror
"La historia general delas Indias con todos los descubrimientos : y cosas notables que han acaescido enellas, dende que se ganaron hasta agora",QLPHZ73100,5774,2060,EL James,Urdu,Psychology
"Ornamenti di tutti gli stili clasificati in ordine storico : trecentotre tavole incise dai migliore silografi ad uso degli artisti, delle scuole di disegno e degli istituti tecnici : con testo illustrativo e didattico",CCVAS10089,5366,1209,C. S. Lewis,Turkish,Thriller
"Manly Palmer Hall collection of alchemical manuscripts, 1500-1825",XSOZZ10026,5009,161,Hermann Hesse,German,Mathematics
Itinera hierosolymitana saecvli IIII-VIII,NEFIM61001,5743,4695,Jeffrey Arche,Spanish,Meta Fiction
"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure, des artistes vivans",BTJNW33100,1986,964,Paulo Coelho,English,History
Freiburger Diözesan-Archiv,PWYER11006,5362,884,Gosho Aoyama,Korean,Short Story
"Monumentos das ordens militares do Templo e de Christo em Thomar : memoria historico-descriptiva, seguida de uma noticia sobre alguns artistas das respectivas obras",TZNJB11001,8598,1273,Norman Bridwell,Japanise,Technical
The Magazine of art,IDXFO45100,4558,1423,Nora Roberts,German,Novel
"El quince de mayo : juguete cómico-lírico-bailable, original y en verso",ZVKYU10012,3606,2509,Kyotaro Nishimura,Russian,Medicine
Los apuros de Gaspar : pieza cómica en un acto y en verso,MUILV10095,9132,2286,Eiji Yoshikawa,Korean,Drama
"Las tres manías, o, Cada loco con su tema : comedia en tres actos",IVEZI10013,2683,3120,Dean Koontz,Turkish,Drama
Juan Renter : ensayo dramático en un acto,UOCCV10054,9140,1895,Horatio Alger,English,Realistic Fiction
Los tres toms : quadro de costums catalanas en un acte y en vers,LHDIM16100,9712,4283,Ryōtarō Shiba,Spanish,Comic
"El solo de trompa : humorada cómico-lírica en un acto, dividido en cuatro cuadros, original y en prosa",EWFDX10085,6329,1562,Mickey Spillane,German,Thriller
"El guapo y el feo, o, Las verduleras honradas : sainete l©Ưrico refundido en un solo cuadro por sus autores",JVNPS10077,4784,4793,Astrid Lindgren,English,Classic
Miguel el esclavo : drama en cuatro actos y un prólogo,DPMFE79100,8242,3118,Nora Roberts,Korean,Mathematics
La confesión : comedia en un acto y en prosa,ERKWZ81003,2516,3260,Clive Cussler,Japanise,Comic
Los pantalones de mi mujer : juguete cómico en dos actos y en prosa,QXUOV11008,9066,229,Ian Fleming,French,Novel
"Instantáneas : revista cómico-lírica en un acto y cinco cuadros, en prosa y verso",TCJXN61001,4098,3173,James Patterson,Spanish,Classic
Una nube de verano : comedia en tres actos y en verso,ZBSQN77100,3738,4964,J. K. Rowling,English,Literary
Doctor Stumper : comedia humorística-filosófica en un acte,GCZVK31003,3560,4681,Astrid Lindgren,Turkish,Comic
"?De cabritilla, qué?-- : monólogo cómico y casi de actualidad, en verso",NKWDN10085,9272,2100,Mubashar Ahmad,French,Classic
"El castillo de Turri©đn : leyenda alavesa l©Ưrico-dram©Łtica en prosa y verso, en dos actos y cuatro cuadros",FBAUX21002,1774,627,Beatrix Potter,Spanish,Short Story
"Valent©Ưas, o, El se©łor Epifanio es un hombre : sainete en un acto y en prosa, consequencia de la hermosa comedia de Manuel Linares Rivas, Cobard©Ưas",BYFTW26100,1288,2724,Eiji Yoshikawa,English,Thriller
!Por una hija! : comedia en uno acto,WAZFM10024,6713,3534,Eiji Yoshikawa,Japanise,History
El testamento de don Alonso el batallador : drama original en cinco actos y en verso,WEEBS41009,4381,2871,Agatha Christie,Turkish,Comic
La nubecita : comedia en un acto y en prosa,FMOBF37100,1802,884,Rex Stout,Japanise,Comic
La horma de su zapato :,DJYBV41004,9254,3772,Robin Cook,Urdu,Drama
En el fondo de la mina : melodrama en dos cuadros y en verso,IPAFP41008,8082,4447,Leo Tolstoy,Korean,Suspense
"Hacerse amar con peluca, o, El viejo de 25 años : comedia en dos actos",EAKIB10025,8533,3503,Wilbur Smith,Urdu,Literary
!Adios mi dinero! : juguete cómico-lírico en un acto y en prosa,TDTTI10050,9676,2265,Karl May,Spanish,Thriller
La almoneda del 3o. : comedia en dos actos y en prosa,ITRCJ74100,2779,1613,Kyotaro Nishimura,English,Realistic Fiction
La soirée de los calaveras : zarzuela en un acto,VOCZP21007,8503,3791,Jin Yong,Japanise,Drama
Los habladores : entremés famoso,VPCZS81003,1417,1190,Jin Yong,Korean,Comic
"Los grandes hombres, o, El monumento a Cervantes : loa",IMFLN10024,7327,2888,Dr. Seuss,Japanise,Mathematics
"El mejor regalo : sainete cómico en un acto, en verso y prosa",PRCJW94100,3242,1334,Mitsuru Adachi,German,Classic
El mocito del barrio : juguete cómico-lírico en un acto y en prosa,CYECP91008,6148,623,Alistair MacLean,Russian,Technical
Los íntimos : comedia en cuatro actos,IXFBS10077,6528,2750,John Creasey,Urdu,Medicine
"Gigantes y cabezudos : zarzuela cómica original y en verso, en un acto y tres cuadros",VATSS10100,7189,3468,C. S. Lewis,Spanish,Mystery
The blunderer,PMOII51005,4387,768,Frédéric Dard,French,Thriller
The sign of the four,CZFQG77100,5324,3615,Richard Scarry,English,Poetry
Into the mist,UZHWP96100,9868,2137,Osamu Tezuka,Urdu,Thriller
Human cloning and human dignity : the report of the President's Council on Bioethics,VJNHM10047,6123,4954,Cao Xueqin,Urdu,Short Story
The book of three,NXWBA75100,1088,1727,Zane Grey,Spanish,Novel
True to the game II,TVKFC96100,7761,2808,Ryōtarō Shiba,Turkish,Short Story
Everyone poops,ILLWQ41100,8170,1664,Hajime Isayam,Japanise,Poetry
Mythology,CXJGM91005,7239,2668,Gosho Aoyama,Turkish,Crime
The relatives came,WULIC21007,6753,4607,Jirō Akagawa,Urdu,Drama
The secret war,OOVLV10013,1968,2867,Paulo Coelho,English,Mystery
"Bearing the cross : Martin Luther King, Jr., and the Southern Christian Leadership Conference",BXYYB83100,4046,3559,James A. Michener,French,Short Story
The light years,TJFRC41009,6724,1327,Dan Brown,Korean,Horror
The Bobbsey twins of Lakeport,ORZEY10063,2336,2358,Alistair MacLean,Spanish,Technical
The ghosts of Mercy Manor,OCBZJ90100,9545,591,Debbie Macomber,German,Thriller
Emerald,HXIWP58100,7762,2678,Robert Ludlum,French,Mathematics
Shiloh season,TWPGM31007,9416,3999,Rex Stout,Spanish,Psychology
